CompanyName,symbol,CIK,SIC,Email,NAICS,Sector,Address,Website,Industry,Telephone,Facsimile,Fiscal Year End,Business Description,Market
Bluebird Battery Metals Inc.,BATT,,"
",,All Other Metal Ore Mining(212299),Basic Materials,"200 Burrard Street, 	Suite 1680, 	Vancouver, BC, CAN, V6C 3L6	",http://www.bluebirdbatterymetals.com,Metals & Mining,+1 855 584-0160,+1 604 357-1704,"
	08/2018","BlueBird Battery Metals Inc is focused on the exploration and development of strategic battery metals projects, primarily copper, cobalt, nickel, and vanadium. The company is a mineral exploration company concentrated on the acquisition, exploration and development of precious metals resource properties in Canada and Australia. It holds interest in Canegrass Project, Ashburton Project and other projects.",TSXV
Blue Star Gold Corp.,BAU,1513573,"
",info@bluestargold.ca ,All Other Metal Ore Mining(212299),Basic Materials,"595 Howe Street, 	Suite 1125, 	Vancouver, BC, CAN, V6C 2T5	",https://www.bluestargold.ca/,Metals & Mining,1 778 379 1433,\,"
	11/2018","Blue Star Gold Corp is engaged in acquisition, exploration, and development of resource property interests. The company's projects are all located in western Nunavut including Ulu gold property, and the Hood River. The company has one reportable operating segment, being the acquisition and exploration of mineral properties.",TSXV
Aston Bay Holdings Ltd.,BAY,,"
",thomas.ullrich@astonbayholdings.com,"Copper, Nickel, Lead and Zinc Ore Mining(212230)",Basic Materials,"80 Richmond Street West, 	Suite 303, 	Toronto, ON, CAN, M5H 2A4	",https://www.astonbayholdings.com,Metals & Mining,+1 416 456-3516,,"
	03/2018","Aston Bay Holdings Ltd is an exploration-stage company. Principally, it is engaged in the exploration and development of copper and zinc. The company is focused on advancing its Storm copper seal zinc project located approximately 374,000 hectares on Somerset Island, Nunavut, Canada. Its project consists of over 130 contiguous mining claims and more than 10 prospecting permits.",TSXV
BB1 Acquisition Corp.,BBA.P,,"
7499 ",,Miscellaneous Financial Investment Activities(523999),Financial Services,"66 Wellington Street West, 	Suite 4100, 	Toronto, ON, CAN, M5K 1B7	",,Asset Management,,,"
	12/2018",BB1 Acquisition Corp is a capital pool company.,TSXV
Brixton Metals Corporation,BBB,1548958,"
",info@brixtonmetals.com,All Other Metal Ore Mining(212299),Basic Materials,"409 Granville Street, 	Suite 551, 	Vancouver, BC, CAN, V6C 1T2	",http://www.brixtonmetals.com,Metals & Mining,+1 888 863-3801,+1 888 863-3810,"
	09/2018","Brixton Metals Corp is a Canadian exploration and development company. It focuses on the acquisition, exploration, and development of mineral properties. Brixton owns four projects in Canada and the USA, Thorn gold-silver project, hog heaven silver-gold project, Langis-Hudson Bay silver-cobalt project, and Atlin gold project.",TSXV
Builders Capital Mortgage Corp.,BCF,,"
7221 ",,Mortgage and Nonmortgage Loan Brokers(522310),Financial Services,"1210 - 8th Street SW, 	Suite 405, 	Calgary, AB, CAN, T2R 1L3	",http://www.builderscapital.ca,Banks,+1 403 685-9888,+1 403 225-9470,"
	12/2018","Builders Capital Mortgage Corp operates as a Canadian mortgage investment corporation. It acquires originates and maintains a portfolio consisting of construction mortgages that are secured by development stage residential real property. The company's objectives when managing capital are to maintain a flexible capital structure, which optimizes the cost of capital at acceptable risk; and to maintain investor, creditor and market confidence in order to sustain the future development of the business. All the operations are primarily functioned through Canada.",TSXV
Blind Creek Resources Ltd.,BCK,,"
",jhsieh@blindcreek.ca,All Other Metal Ore Mining(212299),Basic Materials,"804 - 750 West Pender Street, 		Vancouver, BC, CAN, V6C 2T7	",http://www.blindcreekresources.com,Metals & Mining,+1 604 682-2928,+1 604 685-6905,"
	11/2018","Blind Creek Resources Ltd is an exploration-stage junior mining company. It is focused on the acquisition, exploration, and development of mineral properties. The company explores for silver, lead, zinc, gold and other minerals. It holds interest in four projects which are Blende property, AB property, Engineer gold mine and Yukon Carlin. The company operates in the business segment of the acquisition and exploration of mineral properties, all of which occurs within Canada.",TSXV
Bear Creek Mining Corporation,BCM,1229813,"
",,All Other Metal Ore Mining(212299),Basic Materials,"400 Burrard Street, 	Suite 1400, 	Vancouver, BC, CAN, V6C 3A6	",https://www.bearcreekmining.com,Metals & Mining,+1 604 628-1111,+1 604 685-6268,"
	12/2018","Bear Creek Mining Corp is engaged in the acquisition, exploration, and development of precious and base metal properties in Peru. The company's Corani and Santa Ana Projects collectively host reserves and resources containing nearly 450 million ounces of silver, plus by-product base metals, which provide near-term production potential and leverage to silver prices.",TSXV
Broome Capital Inc.,BCP,,"
",,All Other Metal Ore Mining(212299),Basic Materials,"410 - 1040 West Georgia Street, 		Vancouver, BC, CAN, V6E 4H1	",,Metals & Mining,+1 604 617-5421,,"
	12/2018",Broome Capital Inc is a Canada based exploration company. The company is in the business of acquisition and exploration of mineral properties. Its project includes the Key Lake Road Property.,TSXV
BriaCell Therapeutics Corp.,BCT,,"
3741 ",jwerbes@shaw.ca,Biological Product (except Diagnostic) Manufacturing(325414),Healthcare,"235 - 15th Street, 	Suite 300, 	West Vancouver, BC, CAN, V7T 2X1	",http://www.briacell.com,Biotechnology,+1 604 921-1810,+1 604 921-1898,"
	07/2018","BriaCell Therapeutics Corp is an immuno-oncology focused biotechnology company is developing safe and effective personalized treatments for cancer. Its product candidate, Bria-IMT is being tested in a clinical trial in combination with pembrolizumab - KEYTRUDA manufactured by Merck in patients with advanced breast cancer. BriaCell also is developing Bria-OTS an off-the shelf personalized immunotherapy for advanced breast cancer patients, and BriaDX, its companion diagnostic test. BriaCell's preclinical small molecule program consists of protein kinase C delta inhibitors for cancer and fibrotic diseases.",TSXV
Bell Copper Corporation,BCU,1477201,"
",info@bellcopper.net,"Copper, Nickel, Lead and Zinc Ore Mining(212230)",Basic Materials,"1040 West Georgia Street, 	14th Floor, P.O. Box 27, 	Vancouver, BC, CAN, V6E 4H8	",https://www.bellcopper.net,Metals & Mining,+1 480 570-7077,,"
	12/2018",Bell Copper Corp is a Canada-based company which is engaged in the acquisition and exploration of mineral property interests in North America. The company's project portfolio includes Perseverance project located in northwestern Arizona and Cantsay project.,TSXV
Belmont Resources Inc.,BEA,,"
",gmusil@belmontresources.com,All Other Metal Ore Mining(212299),Basic Materials,"625 Howe Street, 	Suite 600, 	Vancouver, BC, CAN, V6C 2T6	",http://www.belmontresources.com,Metals & Mining,+1 604 683-6648,+1 604 683-1350,"
	01/2018","Belmont Resources Inc is a Canadian resources company which is engaged in the acquisition, exploration, and development of mineral resource properties in Canada and United States. The principal business activity of the company is the acquisition and exploration of lithium in Kibby Basin property in Nevada, USA. The company owns an interest in the Mid Corner/Johnson Croft Property northwest of Saint John, New Brunswick and several claims block in northern Saskatchewan in Uranium City.",TSXV
Bee Vectoring Technologies International Inc.,BEE,,"
3712 ",info@beevt.com,Fertilizer (Mixing Only) Manufacturing(325314),Basic Materials,"789 West Pender Street, 	Suite 800, 	Vancouver, BC, CAN, V6C 1H2	",http://www.beevt.com,Agriculture,+1 604 638-8063,+1 604 648-8105,"
	09/2016",,TSXV
Hill Street Beverage Company Inc.,BEER,,"
1131 ",,Breweries(312120),Consumer Defensive,"2110, 28th Street, 	West Vancouver, 	Vancouver, BC, CAN, V7V 4M3	",http://www.hillstreetbevco.com,Beverages - Alcoholic,+1 604 925-0551,,"
	04/2018",Hill Street Beverage Co Inc is an award winning alcohol free beer and wine company and will produce cannabis infused adult beverages as soon as cannabis edibles become legal in Canada. Products are sold in grocery stores across Canada and direct to consumers via their website.,TSXV
Braille Energy Systems Inc.,BES,,"
3059 ",gary@mincomcapital.com,Other Communication and Energy Wire Manufacturing(335929),Technology,"945 Princess Street, 	Box 117, 	Kingston, ON, CAN, K7L 0E9	",http://www.brailleenergysystemsinc.com,Computer Hardware,+1 800 764-4708,,"
	09/2018",Braille Energy Systems Inc is a battery manufacturing and energy storage company supplying batteries to the professional motor sports industry and the pioneer of a complete line of lightweight high powered battery systems for the transportation market.,TSXV
BeWhere Holdings Inc.,BEW,,"
3351 ",,Telephone Apparatus Manufacturing(334210),Technology,"3264 Lakeshore Boulevard West, 		Etobicoke, ON, CAN, M8V 1M4	",http://www.bewhere.com,Communication Equipment,+1 844 229-4373,,"
	12/2018","BeWhere Holdings Inc is an internet provider of real-time information on equipment tools, and inventory in transit and at facilities serving the emergency service, construction, utility, and transportation industries. It is an internet of things (IoT) solutions company that designs and manufactures industrialized hardware with sensors and software applications to track real-time information on movable assets and environmental sensors. The firm develops mobile applications, middleware, and cloud-based solutions that stand-alone or that which can be integrated to existing software. The products include Bluetooth Beacons, Gateways, NB-IoT and LTE-M and Demo kit.",TSXV
Benton Resources Inc.,BEX,,"
",admin@bentonresources.ca,All Other Metal Ore Mining(212299),Basic Materials,"684 Squier Street, 		Thunder Bay, ON, CAN, P7B 4A8.	",http://www.bentonresources.ca,Metals & Mining,+1 807 475-7474,+1 807 475-7200,"
	06/2018","Benton Resources Inc is a development stage company. Its principal activities are acquisition, exploration, and development of mineral properties. The company primarily holds an interest in Saganaga Lake Property and Abernethy property. It explores for minerals such as gold, base metals, uranium, and platinum group metals. All the business activities are operated functioned through Canada.",TSXV
Blacksteel Energy Inc.,BEY,,"
",info@blacksteelenergy.com,Crude Petroleum Extraction(211120),Energy,"6th Avenue NW, 	Suite 2204, 	Calgary, AB, CAN, T2N 0W9	",http://www.blacksteelenergy.ca,Oil & Gas - E&P,+1 403 629-6156,+1 403 265-3783,"
	04/2018","Blacksteel Energy Inc is a Canada based exploration and development company. It is engaged in the exploration, development, and production of oil and natural gas resources in Western Canadian Sedimentary Basin.",TSXV
Nevada Energy Metals Inc.,BFF,,"
",info@nevadaem.com,All Other Nonmetallic Mineral Mining(212399),Basic Materials,"789 West Pender Street, 	Suite 1220, 	Vancouver, BC, CAN, V6CÂ 1H2	",http://www.nevadaenergymetals.com,Metals & Mining,+1 604 428-5690,,"
	06/2018","Nevada Energy Metals Inc is a junior Canadian exploration company in search of brine-based lithium targets in the state of Nevada. It is involved in the process of acquiring, exploring and developing mineral resources. The projects of the company include Teels Marsh West and Clayton Valley BFF-1 Lithium Project.",TSXV
BioNeutra Global Corporation,BGA,,"
1051 ",info@intercapecommerce.com,Breakfast Cereal Manufacturing(311230),Consumer Defensive,"9608 - 25 Avenue NW, 		Edmonton, AB, CAN, T6N 1J4	",http://www.bioneutra.ca,Consumer Packaged Goods,+1 780 466-1481,+1 780 801-0036,"
	12/2018","BioNeutra Global Corp is a Canada based company engaged in research, development, production, and commercialization of food ingredients for neutraceutical, functional and mainstream foods, focusing on oligosaccharides. The company's product portfolio provides ingredients for various food systems, that contribute to human nutrition and wellness in functional and healthy foods. Its prime product, VitaFiber IMO, is offered in both the powder and syrup form. The company operates in Canada while generating sales revenue from various countries internationally. Majority of the revenue is derived from the United States.",TSXV
Beauce Gold Fields Inc.,BGF,,"
",,All Other Miscellaneous Fabricated Metal Product Manufacturing(332999),Basic Materials,"3000 Omer-Lavallee, 	Suite 306, 	Montreal, QC, CAN, H1Y 3R8	",http://www.beaucegold.com,Metals & Mining,+1 514 262-9239,,"
	/",Beauce Gold Fields Inc is a gold exploration company. Its flagship property is the Beauce Gold project is located in the municipality of Saint-Simon-les-Mines.,TSXV
Barkerville Gold Mines Ltd.,BGM,811835,"
",info@barkervillegold.com,Gold Ore Mining(212221),Basic Materials,"1055 West Hastings Street, 	Suite 2200, 	Vancouver, BC, CAN, V6E 2E9	",http://www.barkervillegold.com,Metals & Mining,,,"
	12/2018","Barkerville Gold Mines Ltd is a Canada based company operates in the business of Gold. It is engaged in the production and sale of gold, and the exploration, development, and acquisition of mineral properties in British Columbia. The mineral tenures cover approximately 2,000 square kilometres. The company primarily holds interests in Cariboo Gold Belt District, Island Mountain, Cow Mountain and Barkerville Mountain.",TSXV
Baroyeca Gold & Silver Inc.,BGS,,"
",,All Other Nonmetallic Mineral Mining(212399),Basic Materials,"1060 Alberni Street, 	Penthouse 8, 	Vancouver, BC, CAN, V6E 4K2	",,Metals & Mining,+1 604 669-3999,+1 604 687-3581,"
	05/2018",Baroyeca Gold & Silver Inc is a Canada-based company. It is involved in industrial metals and minerals business sector. The company is involved in the acquisition and exploration of its exploration and evaluation assets. The company operates in one business segment that is exploration and evaluation activities in Mexico and the United States of America.,TSXV
Blackheath Resources Inc.,BHR,,"
",info@blackheathresources.com,All Other Metal Ore Mining(212299),Basic Materials,"850 West Hastings Street, 	Suite 306, 	Vancouver, BC, CAN, V6C 1E1	",http://www.blackheathresources.com,Metals & Mining,+1 604 684-3800,+1 604 669-2744,"
	12/2018","Blackheath Resources Inc is a Canada based mineral exploration company. It is engaged in identification, exploration, and evaluation of mineral properties in Portugal. The company's projects include Covas, Bejanca, Borralha, Vale das Gatas, and Adoria located in Portugal. The company operates in only one operating segment, that being the Mineral Exploration.",TSXV
Bayhorse Silver Inc.,BHS,,"
",go@bayhorsesilver.com,All Other Metal Ore Mining(212299),Basic Materials,"137 Ranelagh Ave, 		Burnaby, BC, CAN, V5B 3N2	",http://www.bayhorsesilver.com,Metals & Mining,+1 604 684-3394,+1 866 684-0586,"
	12/2018","Bayhorse Silver Inc is a mineral exploration company. The company is engaged in the acquisition and exploration of mineral property interests. It manages and develops gold and silver, base metals and coal mineralization. It has also entered into a farm in agreement with Saturn Minerals Inc to earn approximately 50% interest in Little Swan oil and gas prospect in Saskatchewan's Northern Williston Basin.",TSXV
Braveheart Resources Inc.,BHT,81825,"
",info@rainbowresourcesinc.com,All Other Metal Ore Mining(212299),Basic Materials,"16th Street NW, 	Suite 2520, 	Calgary, AB, CAN, T2M 3R2	",http://www.braveheartresourcesinc.com,Metals & Mining,,,"
	05/2018","Braveheart Resources Inc is a Canada based exploration stage company primarily engaged in locating, acquiring and exploring for precious metals in Canada. The company operates in one business segment, mineral exploration, and two geographical segments, Canada and the United States. Big Strike Project is the organization's project located in the West Kootenay mining district of British Columbia, Canada. The project consists of seven gold and silver targets in close proximity to historic production.",TSXV
Cassowary Capital Corporation,BIRD.P,,"
7214 ",,Investment Advice(523930),Financial Services,"1600, 421 - 7th Avenue SW, 		Calgary, AB, CAN, T2P 4K9	",,Asset Management,+1 403 298-1814,+1 403 695-3486,"
	12/2018",Cassowary Capital Corp Ltd is a Canada based capital pool company.,TSXV
Blockchaink2 Corp.,BITK,1278466,"
7412 ",Knight@bed-rock.com,Securities Brokerage(523120),Financial Services,"1199 West Hastings Street, 	Suite 800, 	Vancouver, AB, CAN, V6E 3T5	",http://www.blockchaink2.com,Brokers & Exchanges,+1 604 283-1722,+1 888 241-5996,"
	09/2018",BlockchainK2 Corp represents one of few pure play ways for stock market equity investors to get exposure to the cryptocurrency market via investment in mining and infrastructure and proprietary SaaS blockchain solutions with industry partners.,TSXV
Pacific Booker Minerals Inc.,BKM,1319150,"
",info@pacificbooker.bc.ca,All Other Metal Ore Mining(212299),Basic Materials,"1166 Alberni Street, 	Suite 1103, 	Vancouver, BC, CAN, V6E 3Z3	",http://www.pacificbooker.bc.ca,Metals & Mining,+1 604 681-8556,+1 604 687-5995,"
	01/2018","Pacific Booker Minerals Inc is a mineral exploration company. Its principal business activity is the exploration of mineral properties. The firm's mineral property interests located in Canada. It operates in only one business segment, Mining Exploration. The company's project includes Morrison Copper/Gold Project.",TSXV
Blockmint Technologies Inc.,BKMT,,"
7721 ",info@smc-ventures.com,Software Publishers(511210),Technology,"220 North West 8th Avenue, 	Suite 450, 	Portland, OR, USA, 97209	",https://www.blockmint.ai,Application Software,+1 971 713-5550,,"
	12/2018",Blockmint Technologies Inc develops distributed systems and networks that enable a more decentralized deployment of blockchain based applications such as cryptocurrency mining.,TSXV
Berkwood Resources Ltd.,BKR,,"
",investor@berkwoodresources.com,All Other Metal Ore Mining(212299),Basic Materials,"1111 West Georgia Street, 	14th Floor, 	Vancouver, BC, CAN, V6E 4M3	",http://www.berkwoodresources.com,Metals & Mining,+1 604 689-1799,+1 604 689-8199,"
	02/2018","Berkwood Resources Ltd is a Canadian based company. It is engaged in the exploration and development of natural resource properties. Its project portfolio includes The Lac Gueret Extensions Project, cobalt Fold Property, Delbreuil Lithium Property located in Quebec and Roscoe Vanadium Project with the presence of multiple copper-zinc-nickel and lithium-beryl-niobium- tantalum-uranium-thorium mineralization.",TSXV
BluMetric Environmental Inc.,BLM,,"
4122 ",,All Other Miscellaneous Waste Management Services(562998),Industrials,"3108 Carp Road, 	P.O. Box 430, 	Ottawa, ON, CAN, K0A 1L0	",http://www.blumetric.ca,Waste Management,+1 613 839-3053,+1 613 839-5376,"
	09/2018","BluMetric Environmental Inc is a Canada based integrated product and service organization. It principally provides sustainable solutions for complex environmental issues to the clients in Canada and internationally. The company serves clients in many industrial sectors, and at all levels of government, both domestically and internationally. The organization offers services and solutions such as environmental earth sciences and engineering; contaminated site remediation; water resource management; industrial hygiene; occupational health and safety; and water and wastewater design-build and pre-engineered solutions. The company operates in the US, Canada and internationally, of which majority of the revenue is derived from the operations in Canada.",TSXV
Blackline Safety Corp.,BLN,,"
3351 ",,Other Communications Equipment Manufacturing(334290),Technology,"803 24 Avenue SE, 	Unit 100, 	Calgary, AB, CAN, T2G 1P5	",http://www.blacklinesafety.com,Communication Equipment,+1 403 451-0327,+1 403 451-9981,"
	10/2018","Blackline Safety is a global connected safety technology leader. Providing comprehensive live-monitoring and wireless gas detection, we help teams working in hazardous environments respond to emergencies in real-time and manage efficient evacuations, accounting for everyone's safety along the way. With millions invested in technology research and development, Blackline Safety is recognized for quality and innovation. Our talented team of designers and engineers create and manufacture in-house - from wearable technology and personal gas detectors to cloud-hosted infrastructure and web-based interfaces for global industry. We deliver the world's first turn-key, work-anywhere, connected safety monitoring solution with gas detection, 3G wireless, satellite communications, two-way speakerphone, push-to-talk, location-enabled data analytics and live monitoring to meet the demanding safety challenges and increase productivity of organizations in over 100 countries.",TSXV
Block One Capital Inc.,BLOK,,"
7432 ",,Securities and Commodity Exchanges(523210),Financial Services,"925 West Georgia Street, 	Suite 1000, 	Vancouver, BC, CAN, V6C 3L2	",http://www.blockonecap.com,Brokers & Exchanges,+1 604 398-4485,,"
	08/2018","Block One Capital Inc an investment issuer focused on the blockchain and digital currency markets. The company is also involved in the development and application of public and private blockchain technologies, including cryptocurrency, smart contracts, decentralized data management and cryptographic security.",TSXV
Barsele Minerals Corp.,BME,,"
3599 ",,All Other Nonmetallic Mineral Mining(212399),Basic Materials,"1055 West Hastings Street, 	Suite 1130, 	Vancouver, BC, CAN, V6E 2E9	",http://www.barseleminerals.com,Metals & Mining,+1 604 687-8566,+1 604 687-6365,"
	12/2018","Barsele Minerals Corp is a Canada based mineral exploration company. It is primarily involved in the acquisition and exploration of mineral properties in Sweden. Its primary mining project is the Barsele Gold Project which is located near Storuman, Vasterbottens Lan, Sweden. The project is a joint venture with Agnico Eagle Mines Ltd where the firm holds a substantial part of the company's ownership. The company's one reportable operating segment is the acquisition and exploration of mineral properties.",TSXV
Bemetals Corp.,BMET,,"
",,All Other Metal Ore Mining(212299),Basic Materials,"595 Burrard Street, 	Suite 3123, P.O. Box 49139, 	Vancouver, BC, CAN, V7X 1J1	",https://www.bemetalscorp.com,Metals & Mining,+1 604 609-6141,+1 604 609-6145,"
	12/2018","BeMetals Corp is engaged in the acquisition of quality exploration, development and production stage base metals projects. It holds interest in Pangeni Project.",TSXV
BMGB Capital Corp.,BMGB.P,,"
7499 ",,Miscellaneous Financial Investment Activities(523999),Financial Services,"1887 Crowe Street, 	Suite 609, 	Vancouver, BC, CAN, V6E 3V7	",,Asset Management,,,"
	/",BMGB Capital Corp is a capital pool company.,TSXV
MacDonald Mines Exploration Ltd.,BMK,,"
",info@macdonaldmines.com,All Other Metal Ore Mining(212299),Basic Materials,"145 Wellington Street West, 	Suite 1001, 	Toronto, ON, CAN, M5J 1H8	",http://www.macdonaldmines.com,Metals & Mining,+1 416 364-4986,+1 416 364-2753,"
	12/2018","MacDonald Mines Exploration Ltd is a mineral exploration company in Canada. The company focuses on Copper and Zinc, and Nickel exploration in the Ring of Fire area of the James Bay Lowlands of Northern Ontario.",TSXV
Black Mammoth Metals Corporation,BMM,1391037,"
",dhhenderson@shaw.ca,Gold Ore Mining(212221),Basic Materials,"1177 West Hastings Street, 	Suite 1710, 	Vancouver, BC, CAN, V6E 2L3	",http://www.blackmammothmetals.com,Metals & Mining,+1 604 347-9101,,"
	12/2018","Black Mammoth Metals Corp is a Canadian-based mineral exploration company. It focuses acquisition and exploration of Blanco Creek gold property in central Idaho. The property consists of around 40 Unpatented Federal Lode Claims hosting three historic underground mines along 3500 meters of strike on the north-east trending regional Blanco Shear Zone. Further, it also holds Coppertonic Property and Frances Bay Copper Property. The Coppertonic property is located south of Canim Lake and covers the eastern portion of a copper-gold occurrence called the Sleeping Giant prospect. The Frances Bay Copper property is located in southwestern British Columbia, which hosts copper deposits.",TSXV
Boreal Metals Corp.,BMX,,"
",,All Other Metal Ore Mining(212299),Basic Materials,"233 West 1st Street, 	Suite 340, 	Vancouver, BC, CAN, V7M 1B3	",http://www.borealmetals.com,Metals & Mining,+1 604 922-8810,,"
	12/2018","Boreal Metals Corp is focused on an exploration of Zinc, Copper, Silver, Gold, Cobalt, and Nickel projects. The company's projects are Adak VMS Project, Modum Cobalt Project, Tynset VMS Project, Gumsberg VMS Project, Guldgruvan Cobalt Project, and others.",TSXV
,BMX.WT,,,,,,,,,,,,,TSXV
Benchmark Metals Inc.,BNCH,,"
",,All Other Metal Ore Mining(212299),Basic Materials,"1199 West Hastings Street, 	Suite 800, 	Vancouver, BC, CAN, V6E 3T5	",https://www.crystalexploration.com,Metals & Mining,+1 604 697-2863,,"
	02/2018","Benchmark Metals Inc is a Canadian based junior resource company focused on the discovery and development of gold and diamond projects. The principal business of the company is the identification, evaluation, and acquisition of mineral properties as well as exploration of acquired mineral properties. The company owns an interest in Muskox Project, Contwoyto Project, Contwoyto gold Project and Hood River Project.",TSXV
Bold Ventures Inc.,BOL,,"
",info@boldventuresinc.com,All Other Metal Ore Mining(212299),Basic Materials,"22 Adelaide Street West, 	Bay Adelaide Centre - East Tower, Suite 3600, 	Toronto, ON, CAN, M5H 4E3	",http://www.boldventuresinc.com,Metals & Mining,+1 416 864-1456,+1 416 864-1443,"
	10/2018","Bold Ventures Inc is a Canadian based exploration company. The company is engaged in the acquisition, exploration, and evaluation of mineral properties in Canada and the United States of America. Its projects include Ring of fire project, Ontario, Stover exploration project, Ontario which occupies portions of six townships Stover, Rennie, West, Meath, Riggs, and Glasgow. Traxxin extension project which contains gold claims, Ontario, Wilcorp project, Ontario with gold deposits, and Lac grasset project, Quebec which has copper, gold, silver, zinc and platinum group element commodities. The company conducts all of its operations in Canada in one business segment.",TSXV
Bold Capital Enterprises Ltd.,BOLD.P,,"
7214 ",,Miscellaneous Financial Investment Activities(523999),Financial Services,"70, Dalhousie Street, 	Suite 300, 	Quebec, QC, CAN, G1K 4B2	",,Asset Management,+1 514 332-1656,,"
	12/2018",Bold Capital Enterprises Ltd is a capital pool company. The principal business of the company would be the identification and evaluation of assets or businesses with a view to complete a Qualifying Transaction.,TSXV
Backstageplay Inc.,BP,1079279,"
7721 ",sean@tandemaccounting.com,Software Publishers(511210),Technology,"409 Granville Street, 	Suite 350, 	Vancouver, BC, CAN, V6C 1T2	",http://www.backstageplay.com,Application Software,+1 604 241-8400,,"
	12/2018","Backstageplay Inc is engaged in software products, Internet entertainment, and marketing company. It Involved in providing a platform to their fans by rewarding participation and game-play activity through virtual goods and pricing. It also engaged in gamification platform that connects with fans and artists through online gaming operations. It derives most of its revenue from membership fees, top-up purchases, advertising revenue, and member merchandise purchases and has operations spread across Canada.",TSXV
Bluedrop Performance Learning Inc.,BPLI,,"
8111 ",contact@bluedrop.com,Small Arms Ammunition Manufacturing(332992),Industrials,"18 Prescott Street, 		St. John's, NL, CAN, A1C 3S4	",http://www.bluedrop.com,Aerospace & Defense,+1 709 739-9000,+1 709 739-9003,"
	09/2018","Bluedrop Performance Learning Inc provides e-learning and course development services and offers online training solutions for businesses and individuals through cloud-based learning management solutions and traditional learning management systems. The company also provides custom courseware development, training products, low-cost simulation and resource augmentation solutions to improve the safety, productivity, and efficiency of military and civil aviation personnel through its training and simulation operations. It operates through the Training and Simulation and Learning Networks segment. It generates the majority of its revenues through the Training and Simulation segment.",TSXV
BQE Water Inc.,BQE,1385226,"
4931 ",investor@bqewater.com,Water Supply and Irrigation Systems(221310),Industrials,"900 Howe Street, 	Suite 250, 	Vancouver, BC, CAN, V6Z 2M4	",https://www.bqewater.com,Waste Management,+1 604 685-1243,+1 604 685-7778,"
	12/2018","BQE Water Inc is a Canada-based service provider engaged in treating mining wastewater and specific hydrometallurgical streams. It offers treatment for mine impacted wastewater and hydrometallurgical waste streams. The company's service offerings include lab testing, pilot demonstration, engineering design, and procurement, commissioning and ongoing technical support. The company mainly generates revenue from Canada.",TSXV
Bragg Gaming Group Inc.,BRAG,,"
7721 ",,Software Publishers(511210),Technology,"130 King Street W, 	Exchange Tower, Suite 1968, 	Toronto, ON, CAN, M5X 1K6	",https://www.bragg.games,Application Software,,,"
	12/2018",Bragg Gaming Group Inc is a Canadian online gaming company. The company is also engaged in identifying online gaming opportunities with a focus on both B2B and B2C gaming companies.,TSXV
Blackrock Gold Corp.,BRC,,"
",almocapitalcorp@yahoo.ca,All Other Metal Ore Mining(212299),Basic Materials,"2300-1177 West Hastings Street, 		Vancouver, BC, CAN, V6E 2K3	",http://www.blackrockgoldcorp.com,Metals & Mining,+1 604 638-3696,+1 778 593-5450,"
	10/2018","Blackrock Gold Corp is a mining company engaged in acquisition, exploration, and development of mineral properties located in Canada and the United States. The company's property portfolio consists of the Moore Property and D.D. Mineral Property.",TSXV
Broadway Gold Mining Ltd.,BRD,,"
",suzannelwood@gmail.com,All Other Metal Ore Mining(212299),Basic Materials,"595 Howe Street, 	Suite 507, 	Vancouver, BC, CAN, V6C 2T5	",http://www.broadwaymining.com,Metals & Mining,+1 604 761-4689,,"
	08/2016",Broadway Gold Mining Ltd. is a resource company focused on development-stage projects with advanced exploration potential.,TSXV
Bearclaw Capital Corp.,BRL,,"
",info@bearclawcapital.com,All Other Metal Ore Mining(212299),Basic Materials,"3540 West 41st Avenue, 	Suite 214, 	Vancouver, BC, CAN, V6N 3E6	",http://www.bearclawcapitalcorp.com,Metals & Mining,+1 604 682-2201,+1 604 682-0318,"
	12/2018","Bearclaw Capital Corp engages in the acquisition, exploration, and development of mineral properties. The company conducts exploration activities in the Canadian Province of British Columbia. It has interests in the following mineral properties such as Aplite, Bam, Castle, Rey Lake, Axe, Capoose, Santa Maria, and Man and Prime.",TSXV
Biorem Inc.,BRM,1549823,"
4999 ",pbruijns@biorem.biz,All Other Miscellaneous Waste Management Services(562998),Industrials,"7496 Wellington Road 34, 	RR Number 3, 	Puslinch, ON, CAN, N0B 2J0	",http://www.biorem.biz,Industrial Products,+1 519 767-9100,+1 519 767-1824,"
	12/2018","Biorem Inc is a pioneer environmental biotechnology company that designs, manufactures and distributes a comprehensive line of high-efficiency air emissions control systems used to eliminate odors, volatile organic compounds, and hazardous air pollutants. The company's products include Biofilters, Biogas Solutions, Multi-Stage Systems, Biotrickling, and services such as Media Sampling and Analysis, Biological Processes and Testing, Media Replacements and Spare Parts, and other related services.",TSXV
Brookfield Investments Corporation,BRN.PR.A,1001085,"
7299 ",enquiries@brookfield.com,Miscellaneous Financial Investment Activities(523999),Financial Services,"181 Bay Street, 	Suite 300, Brookfield Place, P.O. Box 762, 	Toronto, ON, CAN, M5J 2T3	",http://www.brookfield.com,Asset Management,+1 416 363-9491,+1 416 365-9642,"
	12/2018","Brookfield Asset Management Inc owns and manages commercial property (mainly office, but also retail and residential), power (mainly hydroelectric), and infrastructure (timberlands and power transmission) assets. Located around the world, its assets are concentrated in the United States, Canada, Brazil, and Australia.",TSXV
